time_us_normalized,accel_x_raw,accel_y_raw,accel_z_raw,distance_cm,velocity_cm_s,pwm1,pwm2,pwm3,pwm4
53124,168,177,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
53628,169,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
54132,169,177,176,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
54636,169,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
55140,169,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
55644,169,176,176,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
56148,169,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
56652,169,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
57156,169,177,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
57660,169,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
58164,169,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
58668,169,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
59172,169,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
59676,169,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
60180,169,177,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
60684,169,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
61188,168,177,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
61692,169,176,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
62196,169,177,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
62700,169,177,177,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
63208,170,177,176,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
63708,170,177,176,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
64208,169,177,176,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
64708,169,177,176,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
65208,169,177,176,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
65708,169,177,176,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
66208,170,177,176,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
66708,169,177,176,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
67208,169,177,176,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
67708,169,177,175,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
68208,168,177,176,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
68708,169,177,176,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
69208,170,176,176,17.799999237060547,439.7208557128906,79.56449766787192,71.09495049087498,85.29579976358237,57.23500304239558
83092,168,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
83592,168,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
84092,168,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
84592,168,175,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
85092,168,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
85592,168,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
86092,168,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
86596,168,176,174,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
87100,168,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
87604,168,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
88108,168,176,174,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
88612,168,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
89116,168,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
89620,168,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
90124,168,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
90628,168,176,176,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
91132,168,176,174,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
91636,168,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
92140,168,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
92644,168,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
93148,168,177,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
93652,168,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
94152,168,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
94652,168,176,177,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
95156,168,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
95660,168,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
96164,168,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
96668,168,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
97172,168,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
97676,168,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
98180,169,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
98684,168,175,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
99188,168,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
99692,168,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
100196,168,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
100700,168,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
101204,168,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
101708,168,176,174,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
102212,168,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
102716,168,177,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
103220,168,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
103724,168,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
104228,169,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
